image,conf_with,conf_without,area_change
video8_1890.jpg,0.8878291249275208,0.8878291249275208,115.35995609922192
video8_760.jpg,0.8792403340339661,0.8792403340339661,77.14597884126248
video9_270.jpg,0.924022376537323,0.924022376537323,23.892433585201736
video8_800.jpg,0.4713380038738251,0.4713380038738251,59.020407338185365
video6_1150.jpg,0.8964706063270569,0.8964706063270569,40.611121654962986
video8_870.jpg,0.8913605809211731,0.8913605809211731,75.13345989167648
video8_2100.jpg,0.8843967318534851,0.8843967318534851,152.35634806816122
video8_20.jpg,0.9212121963500977,0.9212121963500977,53.254389302836515
video5_60.jpg,0.9138202667236328,0.9138202667236328,103.28801874738222
video8_940.jpg,0.902262806892395,0.902262806892395,122.73875717081086
video9_40.jpg,0.9166479110717773,0.9166479110717773,24.675732110019496
video8_1510.jpg,0.9063035845756531,0.9063035845756531,43.12865666358447
video8_1300.jpg,0.8657714128494263,0.8657714128494263,90.70653741432055
video9_70.jpg,0.8880419135093689,0.8880419135093689,36.85771005294885
video8_1610.jpg,0.9279137253761292,0.9279137253761292,91.41046479722007
video5_120.jpg,0.904711127281189,0.904711127281189,39.45862819460192
video8_1370.jpg,0.8996291160583496,0.8996291160583496,79.96343259473387
video8_2470.jpg,0.9039193987846375,0.9039193987846375,171.7438307826522
video8_10.jpg,0.8999613523483276,0.8999613523483276,81.51172032931609
video8_2460.jpg,0.8779515027999878,0.8779515027999878,79.58317987052949
video8_2480.jpg,0.9004578590393066,0.9004578590393066,174.06962687031813
video8_850.jpg,0.9068793654441833,0.9068793654441833,107.18138970959113
video5_1820.jpg,0.9102703928947449,0.9102703928947449,36.209688684096314
video9_100.jpg,0.9042965769767761,0.9042965769767761,49.64498996383292
video6_930.jpg,0.9181531667709351,0.9181531667709351,29.734994549610523
video8_660.jpg,0.8773015141487122,0.8773015141487122,162.91024806725068
video8_860.jpg,0.8681961297988892,0.8681961297988892,87.59963099716569
video6_1120.jpg,0.9165048003196716,0.9165048003196716,35.96801155730451
video8_2090.jpg,0.7436633110046387,0.7436633110046387,225.23392818440914
video5_0.jpg,0.9103378653526306,0.9103378653526306,71.0345424127225
video9_350.jpg,0.9016514420509338,0.9016514420509338,48.50640238072447
video9_80.jpg,0.8871222138404846,0.8871222138404846,43.1328783160416
video6_200.jpg,0.8717561960220337,0.8717561960220337,175.84336653360495
video8_780.jpg,0.8452181220054626,0.8452181220054626,130.62449853529296
video8_1540.jpg,0.9131174087524414,0.9131174087524414,49.34254743385793
video5_1840.jpg,0.9077547788619995,0.9077547788619995,37.56191833780167
video8_260.jpg,0.8623719215393066,0.8623719215393066,251.2492766048923
video8_1430.jpg,0.8802827000617981,0.8802827000617981,196.75291585103503
video8_1420.jpg,0.8958461284637451,0.8958461284637451,181.6987583437682
video6_1060.jpg,0.9137328863143921,0.9137328863143921,25.55809684411795
video6_810.jpg,0.8991007208824158,0.8991007208824158,27.58946756509247
video9_90.jpg,0.9310650825500488,0.9310650825500488,48.374400546814776
video8_1110.jpg,0.8973055481910706,0.8973055481910706,83.72648850560181
video8_1090.jpg,0.9039394855499268,0.9039394855499268,76.6971531401736
video9_150.jpg,0.9073044061660767,0.9073044061660767,61.24017336710107
video6_1020.jpg,0.9179524183273315,0.9179524183273315,12.662593950538852
video8_2450.jpg,0.8835083842277527,0.8835083842277527,146.45885456940607
video6_40.jpg,0.8982969522476196,0.8982969522476196,141.38401646956206
video8_1550.jpg,0.8924298882484436,0.8924298882484436,55.079750093010325
video8_980.jpg,0.8618953227996826,0.8618953227996826,87.82798417496888
